pesticide,microorganism,evidence_type,evidence_type_original,evidence_type_mapping_note,enzyme_class,reported_protein_name,pesticidedb_protein_id,gene_name,ncbi_accession,ncbi_protein_accession,year,doi,collection_category,uniprot_accession,pubmed_id,source_title,curation_notes,already_in_current_master_exact_accession
Atrazine,Pseudomonas sp. D3-1l,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,Atrazine chlorohydrolase,,atzA,,,2016,10.1186/s12866-016-0868-3,SUPPLEMENTED,A0A0F7ICL3,27821056,"Occurrence, diversity and community structure of culturable atrazine degraders in industrial and agricultural soils exposed to the herbicide in Shandong Province, P.R. China.",Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Terrisporobacter glycolicus ATCC 14880 = DSM 1288,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_018589874.1,2023,10.1371/journal.pone.0290128,SUPPLEMENTED,A0ABZ2EYK3,37816002,Genome-based metabolic and phylogenomic analysis of three Terrisporobacter species.,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Comamonas sp. A2,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase,,atzA,,,2010,10.1007/s10532-009-9284-9,SUPPLEMENTED,C7EY78,19603273,Atrazine degradation by a simple consortium of Klebsiella sp. A1 and Comamonas sp. A2 in nitrogen enriched medium.,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Pseudomonas sp. (strain ADP),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_011117157.1,1995,10.1128/aem.61.9.3373-3378.1995,SUPPLEMENTED,P72156,7574646; 8759853; 11274097; 12450410; 22768133; 25760618,"Cloning, characterization, and expression of a gene region from Pseudomonas sp. strain ADP involved in the dechlorination of atrazine.",Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,beta proteobacterium CDB21,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,Atrazine chlorohydrolase,,atzA,,,2007,10.1002/ps.1334,SUPPLEMENTED,Q5W7L0,17304635,Isolation and characterization of a novel simazine-degrading beta-proteobacterium and detection of genes encoding s-triazine-degrading enzymes.,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Paenarthrobacter nicotinovorans (Arthrobacter nicotinovorans),Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,,Atrazine degradation enzyme,,atzA,,,2005,10.1016/j.femsec.2004.11.012,SUPPLEMENTED,Q6DQL0,16329913,"Characterization of Arthrobacter nicotinovorans HIM, an atrazine-degrading bacterium, from agricultural soil New Zealand.",Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Arthrobacter sp. AD1,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,Atrazine chlorohydrolase,,atzA,,,2003,10.1046/j.1472-765x.2003.01307.x,SUPPLEMENTED,Q8GG87,12680937,Isolation and characterization of an atrazine-degrading bacterium from industrial wastewater in China.,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Pseudomonas aeruginosa,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,Allophanate hydrolase (Atrazine chlorohydrolase),,atzA,,,2014,10.1007/s11356-014-3316-7,SUPPLEMENTED,U3MLL2,25035056,Isolation and characterization of a Pseudomonas aeruginosa from a virgin Brazilian Amazon region with potential to degrade atrazine.,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Arthrobacter sp. SD41,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,Hydroxyatrazine hydrolase,,atzB,,,2016,10.1186/s12866-016-0868-3,SUPPLEMENTED,A0A0F7CUE7,27821056,"Occurrence, diversity and community structure of culturable atrazine degraders in industrial and agricultural soils exposed to the herbicide in Shandong Province, P.R. China.",Imported from UniProt query 'gene:atzB AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Nocardioides sp. CMU5,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,,AtzB,,atzB,,,2007,10.1007/s00253-007-0871-6,SUPPLEMENTED,A0T2X2,17318536,Isolation and characterization of novel atrazine-degrading microorganisms from an agricultural soil.,Imported from UniProt query 'gene:atzB AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Cupriavidus taiwanensis (strain DSM 17343 / BCRC 17206 / CCUG 44338 / CIP 107171 / LMG 19424 / R1) (Ralstonia taiwanensis (strain LMG 19424)),Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Hydrolase,HYDROXY-ATRAZINE ETHYL AMINO HYDROLASE PROTEIN (EC 3.5.4.43),,atzB,,WP_012354054.1,2008,10.1101/gr.076448.108,SUPPLEMENTED,B3R761,18490699,Genome sequence of the beta-rhizobium Cupriavidus taiwanensis and comparative genomics of rhizobia.,Imported from UniProt query 'gene:atzB AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Comamonas sp. A2,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Hydroxyatrazine hydrolase,,atzB,,,2010,10.1007/s10532-009-9284-9,SUPPLEMENTED,C7EY79,19603273,Atrazine degradation by a simple consortium of Klebsiella sp. A1 and Comamonas sp. A2 in nitrogen enriched medium.,Imported from UniProt query 'gene:atzB AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Pseudomonas sp. (strain ADP),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Hydroxydechloroatrazine ethylaminohydrolase (Hydroxyatrazine hydrolase) (EC 3.5.4.43),,atzB,,WP_011117160.1,1997,10.1128/aem.63.3.916-923.1997,SUPPLEMENTED,P95442,9055410; 17660279,The atzB gene of Pseudomonas sp. strain ADP encodes the second enzyme of a novel atrazine degradation pathway.,Imported from UniProt query 'gene:atzB AND atrazine'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Paenarthrobacter nicotinovorans (Arthrobacter nicotinovorans),Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,,Atrazine degradation enzyme,,atzB,,,2005,10.1016/j.femsec.2004.11.012,SUPPLEMENTED,Q6DQK9,16329913,"Characterization of Arthrobacter nicotinovorans HIM, an atrazine-degrading bacterium, from agricultural soil New Zealand.",Imported from UniProt query 'gene:atzB AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Nocardioides sp. SP12,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Hydroxyatrazine hydrolase,,atzB,,,2003,10.1016/S0378-1097(03)00168-X,SUPPLEMENTED,Q83ZG2,12694918; 12639042,"Isolation and characterisation of Nocardioides sp. SP12, an atrazine-degrading bacterial strain possessing the gene trzN from bulk- and maize rhizosphere soil.",Imported from UniProt query 'gene:atzB AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Crystallibacter crystallopoietes,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,AtzB,,atzB,,,2001,10.1111/j.1574-6941.2001.tb00842.x,SUPPLEMENTED,Q93NM7,11451526,Isolation and characterisation of new Gram-negative and Gram-positive atrazine degrading bacteria from different French soils.,Imported from UniProt query 'gene:atzB AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Aminobacter aminovorans (Chelatobacter heintzii),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,AtzB,,atzB,,,2001,10.1111/j.1574-6941.2001.tb00842.x,SUPPLEMENTED,Q93NN0,11451526,Isolation and characterisation of new Gram-negative and Gram-positive atrazine degrading bacteria from different French soils.,Imported from UniProt query 'gene:atzB AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Paenarthrobacter ureafaciens,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,N-isopropylammelide isopropylamino hydrolase,,atzC,,,2016,10.1186/s12866-016-0868-3,SUPPLEMENTED,A0A0F7DB16,27821056; 28699022,"Occurrence, diversity and community structure of culturable atrazine degraders in industrial and agricultural soils exposed to the herbicide in Shandong Province, P.R. China.",Imported from UniProt query 'gene:atzC AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Arthrobacter sp. SD41,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,N-isopropylammelide isopropylamino hydrolase,,atzC,,,2016,10.1186/s12866-016-0868-3,SUPPLEMENTED,A0A0F7GH45,27821056,"Occurrence, diversity and community structure of culturable atrazine degraders in industrial and agricultural soils exposed to the herbicide in Shandong Province, P.R. China.",Imported from UniProt query 'gene:atzC AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Pseudomonas sp. D3-1l,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,N-isopropylammelide isopropylamino hydrolase,,atzC,,,2016,10.1186/s12866-016-0868-3,SUPPLEMENTED,A0A0F7ID94,27821056,"Occurrence, diversity and community structure of culturable atrazine degraders in industrial and agricultural soils exposed to the herbicide in Shandong Province, P.R. China.",Imported from UniProt query 'gene:atzC AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Nocardioides sp. CMU5,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,,AtzC,,atzC,,,2007,10.1007/s00253-007-0871-6,SUPPLEMENTED,A0T2X3,17318536,Isolation and characterization of novel atrazine-degrading microorganisms from an agricultural soil.,Imported from UniProt query 'gene:atzC AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Comamonas sp. A2,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,N-isopropylammelide isopropylamino hydrolase,,atzC,,,2010,10.1007/s10532-009-9284-9,SUPPLEMENTED,C7EY80,19603273,Atrazine degradation by a simple consortium of Klebsiella sp. A1 and Comamonas sp. A2 in nitrogen enriched medium.,Imported from UniProt query 'gene:atzC AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Pseudomonas sp. (strain ADP),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,N-isopropylammelide isopropyl amidohydrolase (EC 3.5.4.42),,atzC,,WP_011117177.1,1998,10.1128/JB.180.1.152-158.1998,SUPPLEMENTED,O52063,9422605; 12218024; 26390431,AtzC is a new member of the amidohydrolase protein superfamily and is homologous to other atrazine-metabolizing enzymes.,Imported from UniProt query 'gene:atzC AND atrazine'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Paenarthrobacter nicotinovorans (Arthrobacter nicotinovorans),Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,,Atrazine degradation enzyme,,atzC,,,2005,10.1016/j.femsec.2004.11.012,SUPPLEMENTED,Q6DQK8,16329913,"Characterization of Arthrobacter nicotinovorans HIM, an atrazine-degrading bacterium, from agricultural soil New Zealand.",Imported from UniProt query 'gene:atzC AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Nocardioides sp. SP12,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,N-isopropylammelide isopropylamino hydrolase,,atzC,,,2003,10.1016/S0378-1097(03)00168-X,SUPPLEMENTED,Q83ZG3,12694918; 12639042,"Isolation and characterisation of Nocardioides sp. SP12, an atrazine-degrading bacterial strain possessing the gene trzN from bulk- and maize rhizosphere soil.",Imported from UniProt query 'gene:atzC AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Crystallibacter crystallopoietes,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,AtzC,,atzC,,,2001,10.1111/j.1574-6941.2001.tb00842.x,SUPPLEMENTED,Q93NM6,11451526,Isolation and characterisation of new Gram-negative and Gram-positive atrazine degrading bacteria from different French soils.,Imported from UniProt query 'gene:atzC AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Aminobacter aminovorans (Chelatobacter heintzii),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,AtzC,,atzC,,,2001,10.1111/j.1574-6941.2001.tb00842.x,SUPPLEMENTED,Q93NM9,11451526,Isolation and characterisation of new Gram-negative and Gram-positive atrazine degrading bacteria from different French soils.,Imported from UniProt query 'gene:atzC AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Pseudomonas aeruginosa,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,N-isopropylammelide isopropylamino hydrolase (N-isopropylammelide isopropylaminohydrolase),,atzC,,,2014,10.1007/s11356-014-3316-7,SUPPLEMENTED,U3ML05,25035056,Isolation and characterization of a Pseudomonas aeruginosa from a virgin Brazilian Amazon region with potential to degrade atrazine.,Imported from UniProt query 'gene:atzC AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Pseudomonas aeruginosa,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,Cyanuric acid amidohydrolase,,atzD,,,2014,10.1007/s11356-014-3316-7,SUPPLEMENTED,A0A075T1W5,25035056,Isolation and characterization of a Pseudomonas aeruginosa from a virgin Brazilian Amazon region with potential to degrade atrazine.,Imported from UniProt query 'gene:atzD AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Nocardia jinanensis,Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_058855167.1,2014,10.1016/j.jbiotec.2014.08.038,SUPPLEMENTED,A0A917RU15,25193709,"Complete genome sequence of Corynebacterium casei LMG S-19264T (=DSM 44701T), isolated from a smear-ripened cheese.",Imported from UniProt query 'gene:atzD AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Bradyrhizobium cosmicum,Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_015688364.1,2012,10.1264/jsme2.me11321,SUPPLEMENTED,A0AAI8MI97,22452844,Complete genome sequence of Bradyrhizobium sp. S23321: insights into symbiosis evolution in soil oligotrophs.,Imported from UniProt query 'gene:atzD AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Bradyrhizobium iriomotense,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_284273864.1,2019,10.1099/ijsem.0.003276,SUPPLEMENTED,A0ABQ6B8S0,30832757,The Global Catalogue of Microorganisms (GCM) 10K type strain sequencing project: providing services to taxonomists for standard genome sequencing and annotation.,Imported from UniProt query 'gene:atzD AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Comamonas sp. A2,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Cyanuric acid amidohydrolase,,atzD,,,2010,10.1007/s10532-009-9284-9,SUPPLEMENTED,C7EY81,19603273,Atrazine degradation by a simple consortium of Klebsiella sp. A1 and Comamonas sp. A2 in nitrogen enriched medium.,Imported from UniProt query 'gene:atzD AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Pseudomonas sp. (strain ADP),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_011117191.1,2001,10.1128/JB.183.19.5684-5697.2001,SUPPLEMENTED,P58329,11544232; 21959051; 26868408; 12788776; 22730121; 23651355,Complete nucleotide sequence and organization of the atrazine catabolic plasmid pADP-1 from Pseudomonas sp. strain ADP.,Imported from UniProt query 'gene:atzD AND atrazine'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Pseudomonas aeruginosa,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,Biuret amidohydrolase,,atzE,,,2014,10.1007/s11356-014-3316-7,SUPPLEMENTED,A0A075T5U3,25035056,Isolation and characterization of a Pseudomonas aeruginosa from a virgin Brazilian Amazon region with potential to degrade atrazine.,Imported from UniProt query 'gene:atzE AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
