pesticide,microorganism,evidence_type,enzyme_class,reported_protein_name,pesticidedb_protein_id,gene_name,ncbi_accession,ncbi_protein_accession,year,doi,collection_category,uniprot_accession,pubmed_id,source_title,already_in_current_master_exact_accession
Atrazine,Aminobacter aminovorans (Chelatobacter heintzii),Gene Only,,AtzB,,atzB,,,2001,10.1111/j.1574-6941.2001.tb00842.x,SUPPLEMENTED,Q93NN0,11451526,Isolation and characterisation of new Gram-negative and Gram-positive atrazine degrading bacteria from different French soils.,NO
Atrazine,Paenarthrobacter ureafaciens,Gene Only + whole-cell/ Crude,Hydrolase,N-isopropylammelide isopropylamino hydrolase,,atzC,,,2016,10.1186/s12866-016-0868-3,SUPPLEMENTED,A0A0F7DB16,27821056; 28699022,"Occurrence, diversity and community structure of culturable atrazine degraders in industrial and agricultural soils exposed to the herbicide in Shandong Province, P.R. China.",NO
Atrazine,Arthrobacter sp. SD41,Gene Only + whole-cell/ Crude,Hydrolase,N-isopropylammelide isopropylamino hydrolase,,atzC,,,2016,10.1186/s12866-016-0868-3,SUPPLEMENTED,A0A0F7GH45,27821056,"Occurrence, diversity and community structure of culturable atrazine degraders in industrial and agricultural soils exposed to the herbicide in Shandong Province, P.R. China.",NO
Atrazine,Pseudomonas sp. D3-1l,Gene Only + whole-cell/ Crude,Hydrolase,N-isopropylammelide isopropylamino hydrolase,,atzC,,,2016,10.1186/s12866-016-0868-3,SUPPLEMENTED,A0A0F7ID94,27821056,"Occurrence, diversity and community structure of culturable atrazine degraders in industrial and agricultural soils exposed to the herbicide in Shandong Province, P.R. China.",NO
Atrazine,Nocardioides sp. CMU5,Gene Only + whole-cell/ Crude,,AtzC,,atzC,,,2007,10.1007/s00253-007-0871-6,SUPPLEMENTED,A0T2X3,17318536,Isolation and characterization of novel atrazine-degrading microorganisms from an agricultural soil.,NO
Atrazine,Comamonas sp. A2,Gene Only,Hydrolase,N-isopropylammelide isopropylamino hydrolase,,atzC,,,2010,10.1007/s10532-009-9284-9,SUPPLEMENTED,C7EY80,19603273,Atrazine degradation by a simple consortium of Klebsiella sp. A1 and Comamonas sp. A2 in nitrogen enriched medium.,NO
Atrazine,Pseudomonas sp. (strain ADP),Gene Only,Hydrolase,N-isopropylammelide isopropyl amidohydrolase (EC 3.5.4.42),,atzC,,WP_011117177.1,1998,10.1128/JB.180.1.152-158.1998,SUPPLEMENTED,O52063,9422605; 12218024; 26390431,AtzC is a new member of the amidohydrolase protein superfamily and is homologous to other atrazine-metabolizing enzymes.,NO
Atrazine,Paenarthrobacter nicotinovorans (Arthrobacter nicotinovorans),Gene Only + whole-cell/ Crude,,Atrazine degradation enzyme,,atzC,,,2005,10.1016/j.femsec.2004.11.012,SUPPLEMENTED,Q6DQK8,16329913,"Characterization of Arthrobacter nicotinovorans HIM, an atrazine-degrading bacterium, from agricultural soil New Zealand.",NO
Atrazine,Nocardioides sp. SP12,Gene Only,Hydrolase,N-isopropylammelide isopropylamino hydrolase,,atzC,,,2003,10.1016/S0378-1097(03)00168-X,SUPPLEMENTED,Q83ZG3,12694918; 12639042,"Isolation and characterisation of Nocardioides sp. SP12, an atrazine-degrading bacterial strain possessing the gene trzN from bulk- and maize rhizosphere soil.",NO
Atrazine,Crystallibacter crystallopoietes,Gene Only,,AtzC,,atzC,,,2001,10.1111/j.1574-6941.2001.tb00842.x,SUPPLEMENTED,Q93NM6,11451526,Isolation and characterisation of new Gram-negative and Gram-positive atrazine degrading bacteria from different French soils.,NO
Atrazine,Aminobacter aminovorans (Chelatobacter heintzii),Gene Only,,AtzC,,atzC,,,2001,10.1111/j.1574-6941.2001.tb00842.x,SUPPLEMENTED,Q93NM9,11451526,Isolation and characterisation of new Gram-negative and Gram-positive atrazine degrading bacteria from different French soils.,NO
Atrazine,Pseudomonas aeruginosa,Gene Only + whole-cell/ Crude,Hydrolase,N-isopropylammelide isopropylamino hydrolase (N-isopropylammelide isopropylaminohydrolase),,atzC,,,2014,10.1007/s11356-014-3316-7,SUPPLEMENTED,U3ML05,25035056,Isolation and characterization of a Pseudomonas aeruginosa from a virgin Brazilian Amazon region with potential to degrade atrazine.,NO
Atrazine,Pseudomonas aeruginosa,Gene Only + whole-cell/ Crude,Hydrolase,Cyanuric acid amidohydrolase,,atzD,,,2014,10.1007/s11356-014-3316-7,SUPPLEMENTED,A0A075T1W5,25035056,Isolation and characterization of a Pseudomonas aeruginosa from a virgin Brazilian Amazon region with potential to degrade atrazine.,NO
Atrazine,Nocardia jinanensis,Gene Only,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_058855167.1,2014,10.1016/j.jbiotec.2014.08.038,SUPPLEMENTED,A0A917RU15,25193709,"Complete genome sequence of Corynebacterium casei LMG S-19264T (=DSM 44701T), isolated from a smear-ripened cheese.",NO
Atrazine,Bradyrhizobium cosmicum,Gene Only,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_015688364.1,2012,10.1264/jsme2.me11321,SUPPLEMENTED,A0AAI8MI97,22452844,Complete genome sequence of Bradyrhizobium sp. S23321: insights into symbiosis evolution in soil oligotrophs.,NO
