pesticide,microorganism,evidence_type,evidence_type_original,evidence_type_mapping_note,enzyme_class,reported_protein_name,pesticidedb_protein_id,gene_name,ncbi_accession,ncbi_protein_accession,year,doi,collection_category,uniprot_accession,pubmed_id,source_title,curation_notes,already_in_current_master_exact_accession,curation_status
Atrazine,Arthrobacter sp. AD1,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,Atrazine chlorohydrolase,,atzA,,,2003,10.1046/j.1472-765x.2003.01307.x,SUPPLEMENTED,Q8GG87,12680937,Isolation and characterization of an atrazine-degrading bacterium from industrial wastewater in China.,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Pseudomonas aeruginosa,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,Allophanate hydrolase (Atrazine chlorohydrolase),,atzA,,,2014,10.1007/s11356-014-3316-7,SUPPLEMENTED,U3MLL2,25035056,Isolation and characterization of a Pseudomonas aeruginosa from a virgin Brazilian Amazon region with potential to degrade atrazine.,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Arthrobacter sp. SD41,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,Hydroxyatrazine hydrolase,,atzB,,,2016,10.1186/s12866-016-0868-3,SUPPLEMENTED,A0A0F7CUE7,27821056,"Occurrence, diversity and community structure of culturable atrazine degraders in industrial and agricultural soils exposed to the herbicide in Shandong Province, P.R. China.",Imported from UniProt query 'gene:atzB AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Nocardioides sp. CMU5,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,,AtzB,,atzB,,,2007,10.1007/s00253-007-0871-6,SUPPLEMENTED,A0T2X2,17318536,Isolation and characterization of novel atrazine-degrading microorganisms from an agricultural soil.,Imported from UniProt query 'gene:atzB AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Cupriavidus taiwanensis (strain DSM 17343 / BCRC 17206 / CCUG 44338 / CIP 107171 / LMG 19424 / R1) (Ralstonia taiwanensis (strain LMG 19424)),Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Hydrolase,HYDROXY-ATRAZINE ETHYL AMINO HYDROLASE PROTEIN (EC 3.5.4.43),,atzB,,WP_012354054.1,2008,10.1101/gr.076448.108,SUPPLEMENTED,B3R761,18490699,Genome sequence of the beta-rhizobium Cupriavidus taiwanensis and comparative genomics of rhizobia.,Imported from UniProt query 'gene:atzB AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Comamonas sp. A2,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Hydroxyatrazine hydrolase,,atzB,,,2010,10.1007/s10532-009-9284-9,SUPPLEMENTED,C7EY79,19603273,Atrazine degradation by a simple consortium of Klebsiella sp. A1 and Comamonas sp. A2 in nitrogen enriched medium.,Imported from UniProt query 'gene:atzB AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Pseudomonas sp. strain ADP,Purified (Activity),Purified enzyme / pathway characterization,Direct mapping from supplemental label: Purified enzyme / pathway characterization,Hydrolase,Hydroxyatrazine ethylaminohydrolase,,atzB,,WP_011117160.1,1997,10.1128/aem.63.3.916-923.1997,SUPPLEMENTED,P95442,9055410,The atzB gene of Pseudomonas sp. strain ADP encodes the second enzyme of a novel atrazine degradation pathway.,Experimentally assigned second enzyme in atrazine degradation pathway; later mechanistic work PMID 17660279.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Pseudomonas sp. (strain ADP),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Hydroxydechloroatrazine ethylaminohydrolase (Hydroxyatrazine hydrolase) (EC 3.5.4.43),,atzB,,WP_011117160.1,1997,10.1128/aem.63.3.916-923.1997,SUPPLEMENTED,P95442,9055410; 17660279,The atzB gene of Pseudomonas sp. strain ADP encodes the second enzyme of a novel atrazine degradation pathway.,Imported from UniProt query 'gene:atzB AND atrazine'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Paenarthrobacter nicotinovorans (Arthrobacter nicotinovorans),Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,,Atrazine degradation enzyme,,atzB,,,2005,10.1016/j.femsec.2004.11.012,SUPPLEMENTED,Q6DQK9,16329913,"Characterization of Arthrobacter nicotinovorans HIM, an atrazine-degrading bacterium, from agricultural soil New Zealand.",Imported from UniProt query 'gene:atzB AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Nocardioides sp. SP12,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Hydroxyatrazine hydrolase,,atzB,,,2003,10.1016/S0378-1097(03)00168-X,SUPPLEMENTED,Q83ZG2,12694918; 12639042,"Isolation and characterisation of Nocardioides sp. SP12, an atrazine-degrading bacterial strain possessing the gene trzN from bulk- and maize rhizosphere soil.",Imported from UniProt query 'gene:atzB AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Crystallibacter crystallopoietes,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,AtzB,,atzB,,,2001,10.1111/j.1574-6941.2001.tb00842.x,SUPPLEMENTED,Q93NM7,11451526,Isolation and characterisation of new Gram-negative and Gram-positive atrazine degrading bacteria from different French soils.,Imported from UniProt query 'gene:atzB AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Aminobacter aminovorans (Chelatobacter heintzii),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,AtzB,,atzB,,,2001,10.1111/j.1574-6941.2001.tb00842.x,SUPPLEMENTED,Q93NN0,11451526,Isolation and characterisation of new Gram-negative and Gram-positive atrazine degrading bacteria from different French soils.,Imported from UniProt query 'gene:atzB AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Paenarthrobacter ureafaciens,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,N-isopropylammelide isopropylamino hydrolase,,atzC,,,2016,10.1186/s12866-016-0868-3,SUPPLEMENTED,A0A0F7DB16,27821056; 28699022,"Occurrence, diversity and community structure of culturable atrazine degraders in industrial and agricultural soils exposed to the herbicide in Shandong Province, P.R. China.",Imported from UniProt query 'gene:atzC AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
