pesticide,microorganism,evidence_type,evidence_type_original,evidence_type_mapping_note,enzyme_class,reported_protein_name,pesticidedb_protein_id,gene_name,ncbi_accession,ncbi_protein_accession,year,doi,collection_category,uniprot_accession,pubmed_id,source_title,curation_notes,already_in_current_master_exact_accession,curation_status
Organophosphates,Rhizorhabdus wittichii (strain DC-6 / KACC 16600) (Sphingomonas wittichii),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Dimethoate hydrolase,,dmhA,,,2016,10.1007/s10529-015-2027-6,SUPPLEMENTED,A0A067XIQ6,26721238; 39489725,A novel amidohydrolase (DmhA) from Sphingomonas sp. that can hydrolyze the organophosphorus pesticide dimethoate to dimethoate carboxylic acid and methylamine.,Imported from UniProt query 'organophosphorus hydrolase pesticide'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Organophosphates,Brucella sp. mp-7,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Organophosphate pesticide hydrolase,,mpd,,,2005,10.1139/w05-010,SUPPLEMENTED,Q693W8,15980896,Diversity of organophosphorus pesticide-degrading bacteria in a polluted soil and conservation of their organophosphorus hydrolase genes.,Imported from UniProt query 'organophosphorus hydrolase pesticide'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Organophosphates,Ochrobactrum sp. mp-6,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Organophosphate pesticide hydrolase,,mpd,,,2005,10.1139/w05-010,SUPPLEMENTED,Q693W9,15980896,Diversity of organophosphorus pesticide-degrading bacteria in a polluted soil and conservation of their organophosphorus hydrolase genes.,Imported from UniProt query 'organophosphorus hydrolase pesticide'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Organophosphates,Ochrobactrum sp. mp-5,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Organophosphate pesticide hydrolase,,mpd,,,2005,10.1139/w05-010,SUPPLEMENTED,Q693X0,15980896,Diversity of organophosphorus pesticide-degrading bacteria in a polluted soil and conservation of their organophosphorus hydrolase genes.,Imported from UniProt query 'organophosphorus hydrolase pesticide'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Organophosphates,Ochrobactrum sp. mp-4,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Organophosphate pesticide hydrolase,,mpd,,,2005,10.1139/w05-010,SUPPLEMENTED,Q693X1,15980896,Diversity of organophosphorus pesticide-degrading bacteria in a polluted soil and conservation of their organophosphorus hydrolase genes.,Imported from UniProt query 'organophosphorus hydrolase pesticide'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Organophosphates,Ochrobactrum sp. mp-3,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Organophosphate pesticide hydrolase,,mpd,,,2005,10.1139/w05-010,SUPPLEMENTED,Q693X2,15980896,Diversity of organophosphorus pesticide-degrading bacteria in a polluted soil and conservation of their organophosphorus hydrolase genes.,Imported from UniProt query 'organophosphorus hydrolase pesticide'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Organophosphates,Achromobacter sp. mp-2,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Organophosphate pesticide hydrolase,,mpd,,,2005,10.1139/w05-010,SUPPLEMENTED,Q693X3,15980896,Diversity of organophosphorus pesticide-degrading bacteria in a polluted soil and conservation of their organophosphorus hydrolase genes.,Imported from UniProt query 'organophosphorus hydrolase pesticide'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Organophosphates,Pseudaminobacter sp. mp-1,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Organophosphate pesticide hydrolase,,mpd,,,2005,10.1139/w05-010,SUPPLEMENTED,Q693X5,15980896,Diversity of organophosphorus pesticide-degrading bacteria in a polluted soil and conservation of their organophosphorus hydrolase genes.,Imported from UniProt query 'organophosphorus hydrolase pesticide'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Parathion / organophosphates,Capillimicrobium parvum,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Parathion hydrolase (EC 3.1.8.1),,opd,,WP_259310742.1,2022,10.1099/ijsem.0.005599,SUPPLEMENTED,A0A9E7C0Q4,36331109,"Pseudomonas aegrilactucae sp. nov. and Pseudomonas morbosilactucae sp. nov., pathogens causing bacterial rot of lettuce in Japan.",Imported from UniProt query 'gene:opd AND parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Parathion / organophosphates,Nonomuraea coxensis DSM 45129,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Parathion hydrolase (EC 3.1.8.1),,opd,,WP_026214863.1,2021,10.1021/acschembio.1c00170,SUPPLEMENTED,A0ABX8U9F3,33913701,Genomic-Led Discovery of a Novel Glycopeptide Antibiotic by Nonomuraea coxensis DSM 45129.,Imported from UniProt query 'gene:opd AND parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Parathion / organophosphates,Brevundimonas diminuta (Pseudomonas diminuta),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Parathion hydrolase (EC 3.1.8.1) (Phosphotriesterase),,opd,,,2011,10.1016/j.plasmid.2011.02.003,SUPPLEMENTED,G8DNV8,21354204,Indigenous organophosphate-degrading (opd) plasmid pCMS1 of Brevundimonasdiminuta is self-transmissible and plays a key role in horizontal mobility of the opd gene.,Imported from UniProt query 'gene:opd AND parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Parathion / organophosphates,Solibacillus isronensis B3W22,Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Hydrolase,Parathion hydrolase (EC 3.1.8.1),,opd,,WP_008406101.1,2012,10.1128/JB.01651-12,SUPPLEMENTED,K1KRQ2,23144382,"Draft genome sequence of Bacillus isronensis strain B3W22, isolated from the upper atmosphere.",Imported from UniProt query 'gene:opd AND parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Parathion / organophosphates,Sphingobium fuliginis ATCC 27551,Recombinant (Activity),Gene-protein relationship / enzyme characterization,Direct mapping from supplemental label: Gene-protein relationship / enzyme characterization,Hydrolase,Parathion hydrolase / phosphotriesterase,,opd,,,1989,10.1128/jb.171.12.6740-6746.1989,SUPPLEMENTED,P0A433,2556372,Parathion hydrolase specified by the Flavobacterium opd gene: relationship between the gene and protein.,Experimentally linked opd gene to parathion hydrolase protein from ATCC 27551.,NO,READY_FOR_MANUAL_REVIEW
Parathion / organophosphates,Sphingobium fuliginis (strain ATCC 27551),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Parathion hydrolase (EC 3.1.8.1) (Phosphotriesterase) (PTE),,opd,,,1989,10.1128/jb.171.12.6740-6746.1989,SUPPLEMENTED,P0A433,2556372; 15369336,Parathion hydrolase specified by the Flavobacterium opd gene: relationship between the gene and protein.,Imported from UniProt query 'gene:opd AND parathion'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Parathion / organophosphates,Brevundimonas diminuta,Recombinant (Activity),Gene cloning / enzyme characterization,Direct mapping from supplemental label: Gene cloning / enzyme characterization,Hydrolase,Parathion hydrolase / phosphotriesterase,,opd,,,1988,10.1128/jb.170.5.2306-2311.1988,SUPPLEMENTED,P0A434,2834339,Cloning and sequencing of a plasmid-borne gene (opd) encoding a phosphotriesterase.,Classic experimentally characterized organophosphate-degrading phosphotriesterase.,NO,READY_FOR_MANUAL_REVIEW
Parathion / organophosphates,Brevundimonas diminuta (Pseudomonas diminuta),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Parathion hydrolase (EC 3.1.8.1) (Phosphotriesterase) (PTE),,opd,,,1988,10.1128/jb.170.5.2306-2311.1988,SUPPLEMENTED,P0A434,2834339; 8155644; 7999757; 7794910; 8634243,Cloning and sequencing of a plasmid-borne gene (opd) encoding a phosphotriesterase.,Imported from UniProt query 'gene:opd AND parathion'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Parathion / organophosphates,Sphingobium fuliginis (strain ATCC 27551),Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Hydrolase,Parathion hydrolase (EC 3.1.8.1) (Phosphotriesterase),,opd,,,2003,10.1128/AEM.69.5.2533-2539.2003,SUPPLEMENTED,Q8GC45,12732518,Transposon-like organization of the plasmid-borne organophosphate degradation (opd) gene cluster found in Flavobacterium sp.,Imported from UniProt query 'gene:opd AND parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Parathion / organophosphates,Chryseobacterium balustinum,Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Hydrolase,Parathion hydrolase (EC 3.1.8.1) (Phosphotriesterase),,opd,,,2003,10.1128/AEM.69.5.2533-2539.2003,SUPPLEMENTED,Q8VLR0,12732518,Transposon-like organization of the plasmid-borne organophosphate degradation (opd) gene cluster found in Flavobacterium sp.,Imported from UniProt query 'gene:opd AND parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Pyrethroids,Clostridium coskatii,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,estP,,WP_063600294.1,2016,10.3389/fmicb.2016.01036,SUPPLEMENTED,A0A166U3S6,27458439,Industrial Acetogenic Biocatalysts: A Comparative Metabolic and Genomic Analysis.,Imported from UniProt query 'gene:estP pyrethroid hydrolase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Pyrethroids,Klebsiella sp. ZD112,Purified (Kinetics),Purified enzyme / biochemical characterization,Direct mapping from supplemental label: Purified enzyme / biochemical characterization,Hydrolase,Pyrethroid-hydrolyzing esterase,,estP,,,2006,10.1021/jf052691u,SUPPLEMENTED,Q52NW7,16448191,"Molecular cloning, purification, and biochemical characterization of a novel pyrethroid-hydrolyzing esterase from Klebsiella sp. strain ZD112.",Reviewed UniProt enzyme; strong biochemical evidence.,NO,READY_FOR_MANUAL_REVIEW
Pyrethroids,Klebsiella sp,Purified (Activity),Publication-linked enzyme record; manual verification required,Publication title indicates direct enzyme activity or characterization.,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,estP,,,2006,10.1021/jf052691u,SUPPLEMENTED,Q52NW7,16448191,"Molecular cloning, purification, and biochemical characterization of a novel pyrethroid-hydrolyzing esterase from Klebsiella sp. strain ZD112.",Imported from UniProt query 'gene:estP pyrethroid hydrolase'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Pyrethroids,Methylobacterium dankookense,Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Hydrolase,Pyrethroid hydrolase,,pytH,,WP_144760423.1,2021,10.3389/fmicb.2021.740610,SUPPLEMENTED,A0A564FSI2,34737731,Comprehensive Comparative Genomics and Phenotyping of Methylobacterium Species.,Imported from UniProt query 'gene:pytH pyrethroid hydrolase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Pyrethroids,Methylobacterium trifolii,Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Hydrolase,Pyrethroid hydrolase,,pytH,,WP_238183277.1,2021,10.3389/fmicb.2021.740610,SUPPLEMENTED,A0ABQ4U0I8,34737731,Comprehensive Comparative Genomics and Phenotyping of Methylobacterium Species.,Imported from UniProt query 'gene:pytH pyrethroid hydrolase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Pyrethroids,Sphingobium wenxiniae JZ-1,Recombinant (Activity),Gene cloning / biochemical characterization,Direct mapping from supplemental label: Gene cloning / biochemical characterization,Hydrolase,Pyrethroid hydrolase,,pytH,,,2009,10.1007/s00128-007-9314-4,SUPPLEMENTED,C0LA90,19581484,Cloning of a novel pyrethroid-hydrolyzing carboxylesterase gene from Sphingobium sp. strain JZ-1 and characterization of the gene product.,Reviewed UniProt enzyme; experimentally characterized pyrethroid hydrolysis.,NO,READY_FOR_MANUAL_REVIEW
Pyrethroids,Sphingobium wenxiniae (strain DSM 21828 / CGMCC 1.7748 / JZ-1),Recombinant (Activity),Publication-linked enzyme record; manual verification required,Publication title indicates cloned/recombinant protein analysis.,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,pytH,,,2009,10.1128/AEM.01298-09,SUPPLEMENTED,C0LA90,19581484,Cloning of a novel pyrethroid-hydrolyzing carboxylesterase gene from Sphingobium sp. strain JZ-1 and characterization of the gene product.,Imported from UniProt query 'gene:pytH pyrethroid hydrolase'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
"2,4-D / chlorophenoxy herbicides",Tardiphaga robiniae,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,A4A58_00905,,WP_068728962.1,,,SUPPLEMENTED,A0A164ANK5,,,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO,REVIEW_BEFORE_IMPORT
"2,4-D / chlorophenoxy herbicides",Bradyrhizobium macuxiense,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,AS156_32335,,WP_066502283.1,,,SUPPLEMENTED,A0A120FQV9,,,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO,REVIEW_BEFORE_IMPORT
"2,4-D / chlorophenoxy herbicides",Bradyrhizobium neotropicale,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,AXW67_39240,,WP_063677254.1,,,SUPPLEMENTED,A0A176ZEQ9,,,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO,REVIEW_BEFORE_IMPORT
"2,4-D / chlorophenoxy herbicides",Bordetella genomosp. 2,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,CAL24_18260,,WP_028352465.1,,,SUPPLEMENTED,A0A261VI05,,,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO,REVIEW_BEFORE_IMPORT
"2,4-D / chlorophenoxy herbicides",Bradyrhizobium valentinum,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,CP49_27530,,WP_057854527.1,,,SUPPLEMENTED,A0A0R3KD95,,,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO,REVIEW_BEFORE_IMPORT
"2,4-D / chlorophenoxy herbicides",Bradyrhizobium jicamae,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,CQ12_33835,,WP_057837409.1,,,SUPPLEMENTED,A0A0R3LG18,,,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO,REVIEW_BEFORE_IMPORT
"2,4-D / chlorophenoxy herbicides",Bradyrhizobium retamae,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,CQ13_00155,,WP_057841016.1,,,SUPPLEMENTED,A0A0R3NDB4,,,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO,REVIEW_BEFORE_IMPORT
"2,4-D / chlorophenoxy herbicides",Caulobacter radicis,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,DDF65_08150,,WP_116566276.1,,,SUPPLEMENTED,A0A2T9JM84,,,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO,REVIEW_BEFORE_IMPORT
"2,4-D / chlorophenoxy herbicides",Bradyrhizobium icense,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,LMTR13_03675,,WP_065726719.1,,,SUPPLEMENTED,A0A1B1U9J1,,,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO,REVIEW_BEFORE_IMPORT
"2,4-D / chlorophenoxy herbicides",Pandoraea bronchicola,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,PBR20603_02806,,WP_150560111.1,,,SUPPLEMENTED,A0A5E5BWY6,,,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO,REVIEW_BEFORE_IMPORT
"2,4-D / chlorophenoxy herbicides",Pandoraea horticolens,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,PHO31112_04496,,WP_150623175.1,,,SUPPLEMENTED,A0A5E4YGY1,,,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO,REVIEW_BEFORE_IMPORT
"2,4-D / chlorophenoxy herbicides",Pandoraea pulmonicola,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,RO07_01115,,,,,SUPPLEMENTED,A0ABN4U8Z2,,,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO,REVIEW_BEFORE_IMPORT
"2,4-D / chlorophenoxy herbicides",Burkholderia territorii,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,WT27_27860,,WP_060103823.1,,,SUPPLEMENTED,A0A119AX41,,,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO,REVIEW_BEFORE_IMPORT
Atrazine,Ferrimicrobium acidiphilum DSM 19497,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_162484327.1,,,SUPPLEMENTED,A0A0D8FQP6,,,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,REVIEW_BEFORE_IMPORT
Atrazine,Microbacterium azadirachtae,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_045252025.1,,,SUPPLEMENTED,A0A0F0KDC7,,,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,REVIEW_BEFORE_IMPORT
Atrazine,Microbacterium azadirachtae,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_045273105.1,,,SUPPLEMENTED,A0A0F0LEY0,,,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,REVIEW_BEFORE_IMPORT
Atrazine,Microbacterium hydrocarbonoxydans,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,,,,SUPPLEMENTED,A0A0M2HUD4,,,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,REVIEW_BEFORE_IMPORT
Atrazine,Pseudonocardia autotrophica (Amycolata autotrophica) (Nocardia autotrophica),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_232021047.1,,,SUPPLEMENTED,A0A1Y2MIT3,,,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,REVIEW_BEFORE_IMPORT
Atrazine,Roseisalinus antarcticus,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_085879395.1,,,SUPPLEMENTED,A0A1Y5T5T5,,,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,REVIEW_BEFORE_IMPORT
Atrazine,Neomoorella humiferrea,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,,,,SUPPLEMENTED,A0A2T0ANZ0,,,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,REVIEW_BEFORE_IMPORT
Atrazine,Gordonia insulae,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_124709759.1,,,SUPPLEMENTED,A0A3G8JTA7,,,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,REVIEW_BEFORE_IMPORT
Atrazine,Pigmentiphaga humi,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_124079529.1,,,SUPPLEMENTED,A0A3P4B135,,,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,REVIEW_BEFORE_IMPORT
Atrazine,Engelhardtia mirabilis,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_145067630.1,,,SUPPLEMENTED,A0A518BNK4,,,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,REVIEW_BEFORE_IMPORT
Atrazine,Candidatus Nitrosocosmicus oleophilus,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_196816896.1,,,SUPPLEMENTED,A0A654M531,,,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,REVIEW_BEFORE_IMPORT
Atrazine,Nocardia macrotermitis,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_153410948.1,,,SUPPLEMENTED,A0A7K0D377,,,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,REVIEW_BEFORE_IMPORT
